BSSID,SSID,frequency,latitude,longitude,WEP,WPA Personal,WPA Enterprise,WPA2 Personal,WPA2 Enterprise,WPA3 Personal,WPA3 Enterprise,Open,Wi-Fi Protected Setup,Mobile Hotspot,Fast Transition,Access Point,Ad Hoc,Wi-Fi 6
"98:9d:5d:db:2a:2a","XFSETUP-2A26","2437","40.7356094","-74.0473953","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"e2:db:d1:3c:48:e7","","5220","38.8934029","-77.039467","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"5c:8f:e0:1e:13:c8","ARRIS-13CA","2462","38.8934029","-77.039467","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"d2:a0:0d:1b:bf:f2","xfinitywifi","5745","38.8934029","-77.039467","false","false","false","false","false","false","false","true","false","false","false","true","false","false"
"e2:db:d1:3c:48:e4","xfinitywifi","5220","38.8934029","-77.039467","false","false","false","false","false","false","false","true","false","false","false","true","false","false"
"e2:db:d1:3c:48:e6","XFINITY","5220","38.8934029","-77.039467","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"3e:51:a4:04:09:71","","2462","38.8934029","-77.039467","false","false","true","false","true","false","false","false","false","false","false","true","false","false"
"3e:51:a4:04:09:72","","5765","38.8934029","-77.039467","false","false","true","false","true","false","false","false","false","false","false","true","false","false"
"e2:db:d1:3c:48:e5","","5220","38.8934029","-77.039467","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"0e:51:a4:04:09:72","xfinitywifi","5765","38.8934029","-77.039467","false","false","false","false","false","false","false","true","false","false","false","true","false","false"
"20:f3:75:c2:40:4c","Rianne","2417","38.8934029","-77.039467","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"dc:fe:07:e6:a3:70","Cholive","5765","38.8934029","-77.039467","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"20:f3:75:c2:40:4d","Rianne5G","5805","38.8934029","-77.039467","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"7c:10:c9:58:be:58","Siberia, USA","2447","38.8934029","-77.039467","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"30:57:8e:50:52:a9","","2412","38.8934029","-77.039467","false","false","false","false","false","false","false","true","false","false","false","true","false","false"
"8c:5a:25:11:76:4f","Benru 2.4","2412","38.8934029","-77.039467","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"30:57:8e:50:52:a6","QLMT","2412","38.8934029","-77.039467","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"30:57:8e:50:52:a3","","2412","38.8934029","-77.039467","false","false","false","false","false","false","true","false","false","false","false","true","false","false"
"44:a5:6e:d0:91:dc","NETGEAR74-5G","5765","38.8934029","-77.039467","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"e2:fe:07:e6:a3:70","","5765","38.8934029","-77.039467","false","true","false","true","false","false","false","false","false","false","false","true","false","false"
"44:a5:6e:d0:91:db","NETGEAR74-2.4G","2442","38.8934029","-77.039467","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"e2:db:d1:30:95:23","","2437","38.8934029","-77.039467","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"90:9d:7d:70:70:9e","SAYMI","2437","38.8934029","-77.039467","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"e2:db:d1:30:95:25","","2437","38.8934029","-77.039467","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"e0:db:d1:2f:95:20","Mac$","2437","38.8934029","-77.039467","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"12:62:e5:f9:b0:1b","DIRECT-1B-HP ENVY Photo 7100","5805","38.8934029","-77.039467","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"e2:a0:0d:1b:bf:f1","","2437","38.8934029","-77.039467","false","true","false","true","false","false","false","false","false","false","false","true","false","false"
"e2:a0:0d:1b:bf:f2","","5745","38.8934029","-77.039467","false","true","false","true","false","false","false","false","false","false","false","true","false","false"
"f2:fe:07:e6:a3:70","xfinitywifi","5765","38.8934029","-77.039467","false","false","false","false","false","false","false","true","false","false","false","true","false","false"
"f2:a9:40:59:ec:99","XFINITY","5785","38.8934029","-77.039467","false","false","false","false","true","false","false","false","false","false","false","true","false","false"
"ea:fe:07:e6:a3:68","","2412","38.8934029","-77.039467","false","true","false","true","false","false","false","false","false","false","false","true","false","false"
"ea:fe:07:e6:a3:70","","5765","38.8934029","-77.039467","false","false","true","false","true","false","false","false","false","false","false","true","false","false"
"ea:a9:40:59:ec:99","xfinitywifi","5785","38.8934029","-77.039467","false","false","false","false","false","false","false","true","false","false","false","true","false","false"
"fc:51:a4:04:09:72","Paila","5765","38.8934029","-77.039467","false","false","false","true","false","false","false","false","true","false","false","true","false","false"
"e6:a9:40:59:ec:98","","2412","38.8934029","-77.039467","false","false","false","true","false","false","false","false","false","false","false","true","false","false"
"02:a0:0d:1b:bf:f2","","5745","38.8934029","-77.039467","false","false","true","false","true","false","false","false","false","false","false","true","false","false"
